main_speaker,num_speaker,speaker_occupation
Leymah Gbowee,1,"Peace activist, Nobelist"
Lidia Yuknavitch,1,Author
Linus Torvalds,1,Software engineer
Lisa Bu,1,Passionate reader
Lisa Genova,1,"Neuroscientist, novelist"
Liu Bolin,1,Artist
Liz Coleman,1,College president
Liz Diller,1,Designer
Louie Schwartzberg,1,Filmmaker
Louie Schwartzberg,1,Filmmaker
Louise Fresco,1,Food and agriculture expert
Louise Leakey,1,Paleoanthropologist
Luca Turin,1,Nose
Lucianne Walkowicz,1,Stellar astronomer
Lucy McRae,1,Body architect 
Luma Mufleh,1,Refugee activist
Mae Jemison,1,"Astronaut, engineer, entrepreneur, physician and educator"
Maira Kalman,1,"Illustrator, author"
Majora Carter,1,Activist for environmental justice
Malcolm Gladwell,1,Writer
Manoush Zomorodi,1,Tech podcaster
Manu Prakash,1,"Physicist, inventor"
Manuel Lima,1,Data visualization researcher
Marc Kushner,1,Architect
Marc Raibert,1,Roboticist
Marcin Jakubowski,1,Farmer and technologist
Marco Tempest,1,Techno-illusionist
Marco Tempest,1,Techno-illusionist
Marco Tempest,1,Techno-illusionist
Margaret Gould Stewart,1,User experience master
Margaret Gould Stewart,1,User experience master
Margaret Wertheim,1,Figurer
Marian Bantjes,1,"Designer, illustrator, typographer"
Mariano Sigman,1,Neuroscientist
Marina Abramovi,1,Performance artist
Mark Bezos,1,"Activist, volunteer firefighter"
Mark Ronson,1,Music producer and DJ
Mark Roth,1,"Biochemist, cell biologist"
Mark Shaw,1,Macroencapsulator
Martin Rees,1,Astrophysicist
Martin Seligman,1,Psychologist
Martin Villeneuve,1,"Graphic artist, director"
Martine Rothblatt,1,Transhumanist
Marvin Minsky,1,AI pioneer
Mary Lou Jepsen,1,Screen engineer
Mary Norris,1,Copy editor
Mary Roach,1,Writer
Maryn McKenna,1,Public health journalist
Matt Cutts,1,Technologist
Matt Kenyon,1,New media artist
Matthew Carter,1,Type designer
Matthew Childs,1,"Marketer, rock climber"
Matthieu Ricard,1,"Monk, author, photographer"
Maya Beiser,1,Cellist
Meg Jay,1,Clinical psychologist
Mehdi Ordikhani-Seyedlar,1,Neuroscientist
Mellody Hobson,1,Investment expert
Mena Trott,1,"Blogger; cofounder, Six Apart"
Meron Gribetz,1,"Founder and CEO, Meta"
Michael Green,1,Architect
Michael Merzenich,1,Neuroscientist
Michael Moschen,1,Juggler
Michael Murphy,1,Designer
Michael Patrick Lynch,1,Philosopher
Michael Pollan,1,Environmental writer
Michael Sandel,1,Political philosopher
Michael Shermer,1,Skeptic
Michael Shermer,1,Skeptic
Michael Specter,1,Writer
Michael Tilson Thomas,1,"Musician, Conductor"
Michel Laberge,1,Plasma physicist
Mihaly Csikszentmihalyi,1,Positive psychologist
Mike Matas,1,Software engineer
Milton Glaser,1,Graphic designer
Miranda Wang and Jeanny Yao,1,Science fair winners
Mitchell Joachim,1,"Architect, designer"
Monica Byrne,1,Author and playwright
